MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
,RL,90,11988.0,,NA,,Lvl,AllPub,,Gtl,,Feedr,Norm,1Fam,1Story,,6.0,1957.0,1957.0,Gable,,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,777.0,Unf,0.0,467.0,1244.0,GasA,Ex,,FuseA,,0.0,0.0,1244.0,0.0,0.0,1.0,1.0,3.0,1.0,,6.0,Typ,,Gd,Attchd,1957,Unf,1.0,336.0,,TA,,0.0,40.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2007.0,,Normal,150000
60.0,RL,NA,8000.0,Pave,NA,Reg,Lvl,AllPub,,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,1995.0,1996.0,Gable,CompShg,,HdBoard,None,0,TA,TA,PConc,Gd,,No,GLQ,219.0,Unf,0.0,554.0,773.0,GasA,,Y,SBrkr,773.0,885.0,0.0,,1.0,0.0,,1.0,3.0,1.0,TA,8.0,Typ,1.0,TA,Attchd,1995,Fin,,,TA,TA,Y,,84.0,,0.0,,0.0,,,NA,0.0,,,WD,Normal,188000
20.0,,,7931.0,Pave,NA,,,AllPub,Inside,Gtl,NAmes,Norm,Norm,,1Story,5.0,,1959.0,1959.0,,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,No,BLQ,,Unf,,,1148.0,GasA,TA,,SBrkr,1148.0,,0.0,1148.0,,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,,NA,Attchd,1959,Unf,1.0,672.0,TA,TA,Y,0.0,,0.0,,0.0,0.0,NA,GdPrv,NA,0.0,7.0,,WD,Normal,132500
20.0,RL,50,14859.0,Pave,NA,IR1,HLS,,CulDSac,Gtl,Gilbert,,Norm,1Fam,1Story,7.0,,,,Hip,CompShg,VinylSd,VinylSd,,27,Gd,TA,,Gd,TA,,Unf,,,0.0,,1670.0,GasA,Ex,,SBrkr,1670.0,,0.0,,0.0,,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,,Attchd,2006,RFn,3.0,690.0,,TA,Y,144.0,60.0,,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2006.0,New,Partial,240000
,,107,13891.0,Pave,NA,Reg,,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,,10.0,5.0,2006.0,2006.0,Gable,,,,NA,,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,,0.0,690.0,2076.0,GasA,,Y,SBrkr,2076.0,,,2076.0,1.0,,2.0,,2.0,1.0,Ex,7.0,Typ,,Gd,,2006,Fin,3.0,,TA,TA,,216.0,229.0,0.0,0.0,0.0,,NA,NA,NA,,9.0,2006.0,New,Partial,465000
20.0,RL,NA,,Pave,,IR3,Low,AllPub,Inside,Gtl,SawyerW,Norm,Norm,,,7.0,5.0,,1998.0,,CompShg,VinylSd,VinylSd,None,0,,,PConc,Gd,,Gd,GLQ,1443.0,Unf,0.0,39.0,1482.0,GasA,Ex,Y,SBrkr,1494.0,,0.0,1494.0,,0.0,,0.0,,,Gd,,Typ,1.0,Fa,,1998,RFn,2.0,514.0,TA,TA,Y,402.0,,0.0,0.0,0.0,0.0,NA,NA,,0.0,8.0,,WD,Normal,215000
75.0,,,,,,,Lvl,,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,7.0,5.0,1941.0,1950.0,,CompShg,MetalSd,,None,0,TA,Gd,,TA,TA,No,Rec,364.0,,0.0,554.0,918.0,GasA,Gd,Y,SBrkr,918.0,728.0,0.0,,0.0,0.0,2.0,0.0,4.0,1.0,,7.0,,,,Detchd,,Unf,1.0,,TA,TA,Y,0.0,0.0,,0.0,126.0,0.0,NA,MnPrv,NA,,8.0,2007.0,WD,Normal,164000
45.0,RL,,5500.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,,Norm,Norm,1Fam,,4.0,6.0,1956.0,1956.0,Gable,,,MetalSd,None,0,TA,TA,CBlock,,TA,,Unf,,Unf,0.0,882.0,,GasA,,Y,SBrkr,882.0,0.0,0.0,882.0,0.0,0.0,,0.0,1.0,1.0,TA,,Typ,0.0,NA,NA,NA,,0.0,0.0,NA,,,0.0,0.0,0.0,,,0.0,NA,MnPrv,NA,0.0,4.0,,WD,,103200
60.0,RM,60,,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,,Norm,1Fam,2Story,7.0,8.0,1946.0,1992.0,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,CBlock,TA,,No,Unf,0.0,Unf,0.0,651.0,651.0,GasA,Gd,Y,SBrkr,707.0,682.0,0.0,1389.0,,0.0,1.0,,3.0,1.0,TA,6.0,,2.0,,Detchd,1947,Unf,1.0,240.0,TA,TA,P,0.0,0.0,126.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2009.0,WD,,135000
80.0,RL,NA,,Pave,NA,IR1,Low,AllPub,,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6.0,5.0,,1969.0,,Metal,Plywood,,None,0,TA,,CBlock,TA,TA,,ALQ,938.0,Unf,0.0,,938.0,GasA,,Y,SBrkr,988.0,0.0,0.0,988.0,,0.0,1.0,0.0,1.0,1.0,TA,,Typ,2.0,TA,Attchd,1969,,2.0,540.0,TA,TA,,0.0,130.0,0.0,130.0,,0.0,NA,,,0.0,10.0,2006.0,WD,Normal,180000
20.0,,,9000.0,,NA,,,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,5.0,1954.0,1954.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,,TA,No,,812.0,,0.0,124.0,,GasA,,,SBrkr,1128.0,,,,0.0,0.0,,,2.0,,,5.0,Min1,0.0,NA,Attchd,,Unf,1.0,286.0,TA,TA,Y,0.0,0.0,0.0,0.0,,,NA,GdWo,,0.0,6.0,2006.0,,Family,118000
50.0,,50,5925.0,Pave,NA,,Lvl,,Inside,Gtl,OldTown,Norm,,1Fam,1.5Fin,3.0,6.0,1910.0,1950.0,Gable,,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,,Unf,0.0,,600.0,Grav,Fa,N,SBrkr,600.0,368.0,0.0,968.0,0.0,0.0,1.0,0.0,2.0,,TA,6.0,Typ,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,GdWo,NA,,,2009.0,WD,Abnorml,37900
20.0,RL,NA,11425.0,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,,,5.0,,1954.0,,Gable,CompShg,BrkFace,BrkFace,None,,,TA,CBlock,TA,TA,No,BLQ,486.0,,0.0,,,GasA,Gd,Y,SBrkr,1008.0,0.0,0.0,1008.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,,1.0,Gd,Attchd,1954,,1.0,,TA,TA,Y,0.0,0.0,120.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2006.0,WD,,137000
60.0,RL,,,Pave,NA,IR1,,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,,None,,Gd,TA,,,TA,,GLQ,425.0,Unf,0.0,291.0,,GasA,Ex,Y,,,,,1432.0,1.0,0.0,,1.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,2004,Fin,2.0,,TA,,Y,100.0,,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2009.0,WD,Normal,188500
60.0,RL,NA,11885.0,,NA,Reg,Lvl,AllPub,Inside,Gtl,,Norm,Norm,,,8.0,,2001.0,2001.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,108,Gd,,PConc,Gd,TA,Av,GLQ,990.0,,0.0,,1299.0,GasA,,Y,SBrkr,1299.0,573.0,0.0,,1.0,,2.0,1.0,,1.0,Ex,7.0,Typ,,TA,BuiltIn,2001,,2.0,531.0,TA,TA,Y,,,0.0,0.0,0.0,,NA,NA,,0.0,11.0,2009.0,WD,,261500
20.0,RL,78,,,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,,Norm,1Fam,1Story,7.0,5.0,1999.0,1999.0,Gable,CompShg,,,BrkFace,183,Gd,TA,PConc,Gd,TA,Av,ALQ,1162.0,Unf,0.0,426.0,1588.0,GasA,,Y,,,0.0,0.0,,0.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,,0.0,NA,Attchd,1999,RFn,,472.0,TA,TA,Y,158.0,,0.0,0.0,0.0,,,NA,NA,,8.0,2006.0,WD,Normal,214000
20.0,RL,NA,9790.0,Pave,NA,Reg,,,Inside,Gtl,NWAmes,Feedr,Norm,,1Story,6.0,5.0,1963.0,1963.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,,TA,TA,CBlock,,TA,No,ALQ,569.0,Rec,,678.0,1328.0,GasA,,Y,SBrkr,1328.0,0.0,0.0,1328.0,1.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,,Gd,Attchd,1963,Unf,2.0,528.0,,TA,Y,0.0,26.0,0.0,0.0,0.0,,NA,NA,NA,0.0,6.0,2010.0,WD,Normal,143000
,RL,60,10800.0,Pave,Grvl,,Lvl,,,Gtl,OldTown,Norm,Norm,1Fam,1Story,,,,2007.0,Gable,,Wd Sdng,Wd Sdng,,0,TA,TA,BrkTil,TA,,,,0.0,,,656.0,656.0,GasA,TA,,SBrkr,968.0,0.0,0.0,968.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1928,Unf,1.0,216.0,Fa,,Y,0.0,0.0,0.0,0.0,,0.0,NA,,NA,0.0,8.0,,WD,Normal,64500
20.0,,78,11645.0,Pave,,,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,,1Fam,,7.0,5.0,2005.0,2005.0,Gable,CompShg,VinylSd,VinylSd,,0,Gd,TA,,,,Av,GLQ,1300.0,Unf,0.0,,1734.0,GasA,Ex,Y,SBrkr,,0.0,0.0,1734.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,,Attchd,,Fin,,660.0,TA,TA,Y,,24.0,,,0.0,0.0,NA,NA,NA,0.0,,2006.0,,Normal,260000
120.0,RL,41,5330.0,,NA,Reg,,AllPub,Inside,Gtl,StoneBr,Norm,,TwnhsE,1Story,8.0,5.0,2000.0,,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,,TA,Av,GLQ,1196.0,,,298.0,1494.0,,Ex,Y,SBrkr,1652.0,0.0,0.0,1652.0,1.0,,2.0,0.0,,1.0,Ex,6.0,Typ,,,Attchd,2000,,2.0,499.0,TA,TA,Y,96.0,48.0,0.0,0.0,0.0,,,NA,NA,0.0,8.0,2007.0,,Normal,251000
,FV,50,5119.0,,,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,9.0,,1999.0,2000.0,,CompShg,,MetalSd,BrkFace,60,Gd,TA,PConc,Ex,TA,Av,GLQ,1238.0,Unf,,460.0,1698.0,GasA,Ex,Y,SBrkr,1709.0,0.0,0.0,1709.0,1.0,0.0,2.0,0.0,2.0,,,5.0,Typ,1.0,,Attchd,1999,Fin,,,TA,TA,Y,97.0,65.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1.0,2008.0,CWD,Abnorml,328900
20.0,RL,,10652.0,Pave,NA,IR1,Lvl,AllPub,,Gtl,,,Norm,1Fam,1Story,7.0,,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,,PConc,Gd,,Av,,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0.0,1494.0,0.0,0.0,,0.0,3.0,1.0,,7.0,Typ,1.0,Gd,Attchd,2006,RFn,3.0,840.0,TA,,Y,,33.0,,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2007.0,New,,279500
,RM,49,8235.0,Pave,,,HLS,,,Gtl,,,RRNn,,1Story,5.0,7.0,1955.0,1995.0,Gable,CompShg,MetalSd,MetalSd,None,0,,Gd,CBlock,TA,TA,No,LwQ,180.0,,645.0,0.0,825.0,GasA,TA,Y,SBrkr,825.0,0.0,0.0,825.0,1.0,0.0,1.0,0.0,2.0,1.0,,,Typ,0.0,,Detchd,,RFn,2.0,,TA,,Y,,,0.0,0.0,,0.0,,MnPrv,NA,0.0,6.0,2008.0,WD,Normal,125000
60.0,RL,NA,10304.0,Pave,NA,,Lvl,AllPub,,,NWAmes,PosN,Norm,1Fam,2Story,,,1976.0,1976.0,Gable,CompShg,Plywood,Plywood,BrkFace,44,,Gd,CBlock,TA,TA,No,ALQ,381.0,Unf,0.0,399.0,780.0,GasA,Ex,Y,SBrkr,1088.0,780.0,0.0,,1.0,0.0,2.0,1.0,4.0,1.0,,9.0,,1.0,,Attchd,1976,Unf,2.0,484.0,TA,TA,Y,448.0,96.0,,0.0,0.0,0.0,NA,,NA,0.0,10.0,2009.0,WD,,197500
,,60,7879.0,Pave,NA,,,,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,,4.0,5.0,1920.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,,0,,TA,CBlock,TA,TA,No,Rec,495.0,,,,720.0,GasA,TA,N,FuseA,720.0,,0.0,720.0,0.0,,,,2.0,1.0,TA,4.0,Typ,0.0,,NA,NA,NA,0.0,0.0,,,N,,,115.0,,0.0,0.0,NA,,NA,0.0,11.0,2009.0,WD,,34900
50.0,RM,52,6240.0,,NA,Reg,Lvl,,,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5.0,6.0,,,Gable,CompShg,MetalSd,,None,0,TA,TA,BrkTil,,TA,No,Unf,,Unf,,1042.0,1042.0,,Ex,Y,SBrkr,1042.0,,0.0,1576.0,,0.0,1.0,0.0,3.0,1.0,TA,,Typ,1.0,Gd,Detchd,,Unf,,225.0,TA,TA,,,0.0,0.0,0.0,,0.0,,NA,NA,0.0,8.0,2006.0,WD,Family,149000
,RL,,,Pave,NA,Reg,Lvl,,,Gtl,Blmngtn,,,TwnhsE,1Story,7.0,5.0,2005.0,,Gable,CompShg,VinylSd,VinylSd,BrkFace,145,Gd,TA,,,,Gd,,16.0,,0.0,,1362.0,GasA,Ex,Y,SBrkr,,0.0,0.0,1506.0,0.0,,2.0,0.0,2.0,1.0,Gd,,,1.0,,Attchd,2005,Fin,2.0,440.0,TA,,Y,142.0,20.0,,0.0,0.0,0.0,NA,NA,NA,0.0,,2006.0,,Normal,213490
,RL,,8400.0,Pave,NA,Reg,Lvl,,Inside,Gtl,,Norm,Norm,1Fam,1Story,5.0,,1957.0,,Gable,CompShg,MetalSd,MetalSd,,,TA,,,TA,,No,,922.0,,0.0,392.0,1314.0,GasA,,Y,SBrkr,1314.0,0.0,0.0,1314.0,1.0,,1.0,0.0,3.0,1.0,,5.0,Typ,0.0,NA,Attchd,1957,RFn,1.0,,TA,TA,Y,250.0,0.0,0.0,0.0,0.0,,NA,NA,NA,0.0,6.0,2010.0,WD,Normal,145000
120.0,RL,44,6371.0,Pave,NA,IR1,,AllPub,Inside,,NridgHt,Norm,Norm,TwnhsE,1Story,7.0,5.0,2009.0,2010.0,Gable,CompShg,VinylSd,,Stone,128,Gd,TA,PConc,Gd,TA,,GLQ,733.0,Unf,0.0,625.0,,GasA,Ex,Y,SBrkr,1358.0,0.0,0.0,,,0.0,2.0,0.0,2.0,1.0,Gd,,Typ,1.0,Gd,Attchd,2010,,2.0,484.0,,,,,35.0,,,,0.0,NA,,NA,0.0,,2010.0,New,Partial,224000
60.0,,80,9364.0,,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,,7.0,1969.0,,,CompShg,HdBoard,HdBoard,,143,,TA,CBlock,TA,,No,,,Unf,0.0,292.0,663.0,GasA,TA,Y,SBrkr,663.0,,0.0,1352.0,0.0,0.0,,1.0,,1.0,TA,7.0,Typ,,,Attchd,1969,Fin,,299.0,TA,TA,Y,379.0,,0.0,0.0,0.0,0.0,NA,,NA,,3.0,,WD,Normal,158000
160.0,,34,3230.0,Pave,Pave,,,AllPub,Corner,Gtl,Somerst,,Norm,TwnhsE,,6.0,,1999.0,1999.0,,CompShg,MetalSd,,BrkFace,1129,TA,TA,PConc,,TA,,GLQ,419.0,Unf,,310.0,729.0,GasA,Gd,Y,SBrkr,,729.0,0.0,1458.0,,0.0,2.0,,2.0,1.0,TA,5.0,Typ,1.0,Fa,,1999,Unf,2.0,440.0,TA,TA,Y,0.0,32.0,0.0,0.0,0.0,,NA,NA,NA,0.0,6.0,2007.0,WD,,176000
